episode,return,average_return,lines_cleared
385,-83.0,-100.01688311688312,0
386,-132.5,-100.10103626943005,0
387,-119.0,-100.14987080103359,0
388,-52.0,-100.02577319587628,1
389,-86.0,-99.98971722365039,0
390,-103.0,-99.99743589743589,1
391,-81.5,-99.95012787723785,0
392,-74.0,-99.88392857142857,0
393,-49.0,-99.75445292620866,1
394,-77.0,-99.69670050761421,0
395,-83.0,-99.65443037974684,0
396,-78.5,-99.6010101010101,0
397,-80.0,-99.55163727959697,0
398,-84.5,-99.51381909547739,0
399,-99.5,-99.51378446115288,0
400,-134.0,-99.6,0
401,-120.5,-99.65211970074813,0
402,-150.5,-99.77860696517413,0
403,-111.5,-99.8076923076923,0
404,-140.0,-99.90717821782178,0
405,-104.0,-99.91728395061729,0
406,-105.5,-99.93103448275862,0
407,-94.0,-99.91646191646191,1
408,-63.5,-99.82720588235294,0
409,-101.0,-99.83007334963325,0
410,-78.5,-99.77804878048781,0
411,-128.5,-99.84793187347933,1
412,-98.0,-99.84344660194175,0
413,-86.0,-99.80992736077482,0
414,-62.5,-99.71980676328502,1
415,-69.5,-99.64698795180723,0
416,-94.0,-99.63341346153847,1
417,-75.5,-99.57553956834532,0
418,-140.5,-99.67344497607655,1
419,-102.5,-99.68019093078759,0
420,-144.5,-99.78690476190476,0
421,-51.5,-99.67220902612827,0
422,-95.0,-99.6611374407583,0
423,-80.5,-99.61583924349881,1
424,-132.5,-99.69339622641509,0
425,-63.5,-99.60823529411765,0
426,-36.5,-99.46009389671362,0
427,-93.5,-99.44613583138174,0
428,-87.5,-99.41822429906541,0
429,-60.5,-99.32750582750583,0
430,-93.5,-99.31395348837209,0
431,-80.0,-99.2691415313225,0
432,-117.5,-99.3113425925926,0
433,-95.0,-99.3013856812933,0
434,-78.5,-99.25345622119816,0
435,-114.5,-99.28850574712644,0
436,-76.0,-99.23509174311927,1
437,-140.0,-99.3283752860412,0
438,-90.5,-99.3082191780822,0
439,-131.0,-99.38041002277905,0
440,-93.5,-99.36704545454545,0
441,-135.5,-99.44897959183673,0
442,-107.5,-99.46719457013575,1
443,-89.5,-99.44469525959369,1
444,-140.0,-99.53603603603604,0
445,-108.5,-99.5561797752809,0
446,-89.0,-99.53251121076234,0
447,-92.5,-99.51677852348993,1
448,-116.0,-99.55357142857143,0
449,-115.0,-99.5879732739421,1
450,-98.0,-99.58444444444444,0
451,-80.0,-99.54101995565411,0
452,-84.5,-99.50774336283186,0
453,-104.0,-99.5176600441501,0
454,-86.0,-99.48788546255507,0
455,-89.0,-99.46483516483516,0
456,-91.0,-99.44627192982456,1
457,-86.0,-99.41684901531728,0
458,-122.0,-99.46615720524018,0
459,-111.5,-99.49237472766885,0
460,-102.5,-99.49891304347825,0
461,-95.5,-99.49023861171366,1
462,-134.0,-99.56493506493507,0
463,-111.5,-99.59071274298056,0
464,-95.0,-99.58081896551724,0
465,-98.0,-99.57741935483871,0
466,-138.5,-99.66094420600858,0
467,-81.5,-99.62205567451821,0
468,-63.5,-99.5448717948718,0
469,-122.0,-99.59275053304904,0
470,-76.0,-99.54255319148936,1
471,-105.5,-99.5552016985138,0
472,-111.5,-99.58050847457628,0
473,-78.5,-99.53594080338266,0
474,-103.0,-99.54324894514768,1
475,-89.0,-99.52105263157895,0
476,-107.0,-99.53676470588235,0
477,-104.0,-99.5461215932914,0
478,-73.0,-99.49058577405857,1
479,-89.0,-99.4686847599165,0
480,-92.0,-99.453125,0
481,-68.5,-99.38877338877339,1
482,-75.5,-99.33921161825727,0
483,-80.0,-99.2991718426501,0
484,-118.0,-99.33780991735537,1
485,-74.5,-99.28659793814433,1
486,-137.0,-99.3641975308642,0
487,-99.5,-99.36447638603696,0
488,-62.0,-99.28790983606558,0
489,-77.0,-99.24233128834356,0
490,-89.0,-99.22142857142858,0
491,-77.5,-99.17718940936864,1
492,-83.5,-99.14532520325203,1
493,-137.5,-99.22312373225152,1
494,-65.5,-99.15485829959515,1
495,-116.5,-99.18989898989899,1
496,-95.5,-99.18245967741936,1
497,-115.0,-99.21428571428571,1
498,-99.5,-99.214859437751,0
499,-65.0,-99.14629258517034,0
500,-89.0,-99.126,0
501,-90.5,-99.10878243512974,0
502,-74.0,-99.05876494023904,0
503,-86.0,-99.03280318091451,0
504,-94.0,-99.02281746031746,1
505,-82.0,-98.98910891089109,1
506,-58.0,-98.90810276679842,1
507,-102.5,-98.91518737672584,0
508,-62.0,-98.84251968503936,0
509,-87.5,-98.82023575638507,0
510,-60.5,-98.74509803921569,0
511,-111.5,-98.77005870841488,0
512,-57.5,-98.689453125,0
513,-83.0,-98.6588693957115,0
514,-53.0,-98.57003891050584,0
515,-105.5,-98.58349514563106,0
516,-75.5,-98.53875968992249,0
517,-59.5,-98.46324951644101,1
518,-92.0,-98.4507722007722,0
519,-107.0,-98.46724470134875,0
520,-73.0,-98.41826923076923,1
521,-95.0,-98.41170825335892,0
522,-91.0,-98.39750957854406,1
523,-62.0,-98.32791586998088,0
524,-108.5,-98.3473282442748,0
525,-115.0,-98.37904761904763,1
526,-110.0,-98.40114068441065,0
527,-64.0,-98.3358633776091,1
528,-92.0,-98.32386363636364,0
529,-72.5,-98.2750472589792,0
530,-80.5,-98.24150943396226,1
531,-64.0,-98.17702448210923,1
532,-63.5,-98.11184210526316,0
533,-104.5,-98.12382739212008,1
534,-103.0,-98.13295880149813,1
535,-103.0,-98.14205607476636,1
536,-125.0,-98.19216417910448,0
537,-81.5,-98.1610800744879,0
538,-133.0,-98.22583643122677,1
539,-35.5,-98.10946196660483,1
540,-77.0,-98.07037037037037,0
541,-121.0,-98.11275415896488,1
542,-79.0,-98.07749077490774,1
543,-68.0,-98.02209944751381,0
544,-81.5,-97.99172794117646,0
545,-89.0,-97.97522935779817,0
546,-75.5,-97.93406593406593,0
547,-96.5,-97.93144424131627,0
548,-59.0,-97.86040145985402,0
549,-96.5,-97.85792349726776,0
550,-62.5,-97.79363636363637,1
551,-107.5,-97.81125226860254,1
552,-120.5,-97.85235507246377,0
553,-119.0,-97.89059674502712,0
554,-108.5,-97.90974729241877,0
555,-101.5,-97.91621621621621,1
556,-71.0,-97.86780575539568,0
557,-116.0,-97.90035906642728,0
558,-67.0,-97.84498207885305,1
559,-59.5,-97.77638640429338,1
560,-83.0,-97.75,0
561,-121.0,-97.79144385026738,1
562,-84.5,-97.76779359430606,0
563,-90.5,-97.75488454706927,0
564,-78.5,-97.72074468085107,0
565,-110.5,-97.7433628318584,1
566,-81.5,-97.71466431095406,0
567,-48.5,-97.62786596119929,0
568,-83.0,-97.60211267605634,0
569,-115.0,-97.63268892794376,1
570,-108.5,-97.6517543859649,0
571,-82.0,-97.62434325744309,1
572,-85.0,-97.60227272727273,1
573,-102.5,-97.6108202443281,0
574,-59.0,-97.54355400696865,0
575,-136.0,-97.61043478260869,1
576,-81.5,-97.58246527777777,0
577,-81.5,-97.55459272097053,0
578,-119.0,-97.5916955017301,0
579,-62.0,-97.53022452504318,0
580,-73.0,-97.48793103448276,1
581,-77.0,-97.4526678141136,0
582,-107.0,-97.46907216494846,0
583,-110.5,-97.49142367066895,1
584,-53.0,-97.4152397260274,0
