episode,return,average_return
1126,-500.5,-595.0833333333334
1127,-500.5,-594.3385826771654
1128,-515.5,-593.72265625
1129,-500.5,-593.0
1130,-785.5,-594.4807692307693
1131,-500.5,-593.763358778626
1132,-523.0,-593.2272727272727
1133,-500.5,-592.5300751879699
1134,-500.5,-591.8432835820895
1135,-500.5,-591.1666666666666
1136,-532.0,-590.7316176470588
1137,-500.5,-590.07299270073
1138,-500.5,-589.4239130434783
1139,-500.5,-588.7841726618705
1140,-500.5,-588.1535714285715
1141,-500.5,-587.531914893617
1142,-529.0,-587.1197183098592
1143,-697.0,-587.8881118881119
1144,-521.5,-587.4270833333334
1145,-500.5,-586.8275862068965
1146,-500.5,-586.236301369863
1147,-727.0,-587.1938775510204
1148,-740.5,-588.2297297297297
1149,-500.5,-587.6409395973154
1150,-500.5,-587.06
1151,-500.5,-586.4867549668874
1152,-476.5,-585.7631578947369
1153,-749.5,-586.8333333333334
1154,-500.5,-586.2727272727273
1155,-500.5,-585.7193548387097
1156,-526.0,-585.3365384615385
1157,-647.5,-585.7324840764331
1158,-475.0,-585.0316455696203
1159,-500.5,-584.5
1160,-545.5,-584.25625
1161,-500.5,-583.7360248447205
1162,-500.5,-583.2222222222222
1163,-500.5,-582.7147239263803
1164,-500.5,-582.2134146341464
1165,-500.5,-581.7181818181818
1166,-551.5,-581.5361445783133
1167,-754.0,-582.5688622754491
1168,-556.0,-582.4107142857143
1169,-893.5,-584.2514792899408
1170,-500.5,-583.7588235294118
1171,-649.0,-584.140350877193
1172,-529.0,-583.8197674418604
1173,-500.5,-583.3381502890173
1174,-500.5,-582.8620689655172
1175,-535.0,-582.5885714285714
1176,-572.5,-582.53125
1177,-500.5,-582.0677966101695
1178,-500.5,-581.6095505617977
1179,-538.0,-581.3659217877095
1180,-500.5,-580.9166666666666
1181,-800.5,-582.1298342541437
1182,-538.0,-581.8873626373627
1183,-649.0,-582.2540983606557
1184,-500.5,-581.8097826086956
1185,-500.5,-581.3702702702702
1186,-500.5,-580.9354838709677
1187,-602.5,-581.0508021390374
1188,-500.5,-580.6223404255319
1189,-553.0,-580.4761904761905
1190,-565.0,-580.3947368421053
1191,-500.5,-579.9764397905759
1192,-500.5,-579.5625
1193,-500.5,-579.1528497409327
1194,-500.5,-578.7474226804123
1195,-500.5,-578.3461538461538
1196,-500.5,-577.9489795918367
1197,-554.5,-577.8299492385787
